,Risk_Tolerance,Portfolio_Diversity,Age,Annual_Income,Years_Experience,Successful_Investment,Risk_Tolerance_Clean
461,3,6.0,44.0,71850.96858044097,17.0,0,Medium
462,3,2.0,29.0,78436.3547168544,3.0,0,Medium
463,Low,10.0,56.0,3254.9685847646906,24.0,0,Low
464,2,2.0,54.0,89973.96352682839,1.0,0,Medium
465,H,5.0,37.0,27479.9019532041,3.0,1,High
466,Medium,2.0,44.0,57999.78072792317,20.0,0,Medium
467,Low,9.0,48.0,75063.52819930506,15.0,0,Low
468,High,6.0,43.0,91581.3077711145,21.0,1,High
469,Medium,5.0,42.0,26004.47469007351,10.0,0,Medium
470,H,1.0,33.0,978.4385670863012,0.0,0,High
471,Medium,3.0,43.0,111701.23826145672,13.0,0,Medium
472,L,10.0,45.0,38417.69868427491,7.0,0,Low
473,2,5.0,32.0,63727.40396189706,4.0,0,Medium
474,2,7.0,54.0,94001.44815567003,30.0,1,Medium
475,Low,7.0,51.0,38376.87420678679,10.0,1,Low
476,,2.0,41.0,61287.62012181293,19.0,0,Medium
477,Medium,4.0,34.0,45615.10574419531,6.0,1,Medium
478,H,2.0,19.0,31548.76743693238,1.0,0,High
479,H,2.0,23.0,6298.997193678333,1.0,0,High
480,M,5.0,46.0,106688.33748995498,22.0,1,Medium
481,Medium,9.0,40.0,54121.835535823455,7.0,0,Medium
482,L,6.0,43.0,58612.51607680511,5.0,0,Low
483,,6.0,31.0,4893.819479277801,0.0,0,Medium
484,Medium,5.0,49.0,88379.6590982934,3.0,1,Medium
485,Low,8.0,75.0,86679.92979798406,25.0,1,Low
486,L,5.0,46.0,147824.40282501388,25.0,1,Low
487,Low,8.0,52.0,53544.09777269336,21.0,0,Low
488,Medium,5.0,24.0,46683.4169764864,4.0,0,Medium
489,High,1.0,33.0,65091.648591926016,9.0,1,High
490,1,5.0,58.0,65091.648591926016,21.0,1,Medium
491,medium,3.0,44.0,53431.2570913438,7.0,0,Medium
492,Medium,9.0,39.0,19400.465875866208,20.0,1,Medium
493,Medium,5.0,41.0,39374.42561684877,5.0,0,Medium
494,M,2.0,41.0,16498.49920858427,5.0,0,Medium
495,High,2.0,50.0,68222.10014926904,30.0,1,High
496,M,9.0,45.0,14699.265371579437,14.0,1,Medium
497,M,8.0,49.0,45096.95687809806,13.0,0,Medium
498,low,9.0,32.0,44620.76826045141,0.0,1,Low
499,Low,5.0,82.0,146799.34388046205,41.0,1,Low
500,Unknown,8.0,21.0,25198.440425564964,1.0,0,Medium
501,High,5.0,40.0,83239.34670913388,1.0,1,High
502,1,9.0,56.0,93892.34404441708,46.0,0,Medium
503,M,9.0,49.0,81246.9498756944,31.0,1,Medium
504,High,4.0,33.0,46510.31575033601,4.0,0,High
505,,3.0,30.0,21128.98559691614,10.0,0,Medium
506,Unknown,2.0,28.0,67547.70337306753,1.0,0,Medium
507,Medium,8.0,55.0,131035.25336913305,4.0,0,Medium
508,2,3.0,29.0,0.0,1.0,0,Medium
509,Medium,6.0,27.0,30917.09824010027,9.0,0,Medium
510,2,4.0,25.0,55781.03269280752,6.0,1,Medium
511,,8.0,55.0,132512.41295507888,2.0,1,Medium
512,High,6.0,35.0,71105.21958186274,11.0,1,High
513,Low,9.0,53.0,89907.8049287355,22.0,0,Low
514,2,2.0,40.0,38273.82570937567,17.0,0,Medium
515,Medium,4.0,32.0,42002.830388050425,7.0,0,Medium
516,3,5.0,37.0,104388.69862917373,6.0,0,Medium
517,2,5.0,59.0,108612.00282579284,0.0,0,Medium
518,Medium,9.0,22.0,49922.80138282432,11.0,0,Medium
519,1,8.0,69.0,83288.33631138249,42.0,1,Medium
520,High,6.0,55.0,102436.17314101788,12.0,1,High
521,1,5.0,64.0,79086.07137557579,19.0,0,Medium
522,3,2.0,36.0,46907.76415930829,14.0,0,Medium
523,Low,10.0,60.0,137294.10541553196,38.0,1,Low
524,Low,4.0,60.0,89413.07476961147,11.0,0,Low
525,Low,5.0,41.0,79361.48784039967,20.0,0,Low
526,Medium,5.0,54.0,73938.51674263724,10.0,0,Medium
527,Low,10.0,78.0,152453.61958433612,37.0,1,Low
528,Medium,4.0,55.0,61066.0727715582,29.0,0,Medium
529,2,5.0,29.0,52033.41863242978,6.0,1,Medium
530,High,6.0,18.0,0.0,0.0,0,High
531,Medium,5.0,66.0,150790.32120583084,43.0,1,Medium
532,M,6.0,56.0,105960.59450820896,20.0,1,Medium
533,2,3.0,47.0,95311.4642698458,8.0,0,Medium
534,1,4.0,55.0,129058.10592096348,23.0,1,Medium
535,High,5.0,32.0,38401.55475233409,0.0,1,High
536,Medium,2.0,34.0,58303.610131789326,0.0,0,Medium
537,High,1.0,38.0,57647.69912437299,20.0,1,High
538,Low,6.0,44.0,75435.15432021042,17.0,0,Low
539,Medium,8.0,49.0,117557.4959972581,21.0,0,Medium
540,Medium,2.0,52.0,70645.59891760943,6.0,1,Medium
541,1,9.0,63.0,50155.59293313799,16.0,0,Medium
542,Low,7.0,71.0,115143.70792353307,20.0,1,Low
543,High,1.0,18.0,42547.06620120689,0.0,1,High
544,M,7.0,45.0,76157.65747314418,15.0,0,Medium
545,2,5.0,48.0,80797.01356968722,25.0,0,Medium
546,,1.0,21.0,51954.39585362732,1.0,0,Medium
547,M,9.0,58.0,119694.56999016926,39.0,1,Medium
548,Medium,3.0,79.0,128600.4265965558,8.0,0,Medium
549,Medium,7.0,60.0,186068.50179432303,2.0,0,Medium
550,2,5.0,43.0,65091.648591926016,2.0,0,Medium
551,High,1.0,43.0,43282.09305882375,6.0,1,High
552,Low,10.0,63.0,77104.84365610879,37.0,1,Low
553,Medium,3.0,29.0,66670.58020985514,2.0,1,Medium
554,High,4.0,27.0,43132.1274688746,2.0,0,High
555,2,9.0,44.0,74545.63994311223,10.0,0,Medium
556,L,10.0,56.0,96962.12483079571,14.0,1,Low
557,Low,5.0,64.0,56244.13697394539,28.0,0,Low
558,High,1.0,49.0,88139.00427818928,18.0,1,High
559,High,2.0,32.0,33164.849595403175,10.0,0,High
560,Low,5.0,64.0,89600.51098600197,20.0,0,Low
561,High,5.0,37.0,51671.023236744695,13.0,0,High
562,Low,5.0,48.0,50676.33713601167,20.0,0,Low
563,High,2.0,51.0,23963.50346019596,5.0,0,High
564,3,2.0,34.0,65091.648591926016,3.0,0,Medium
565,High,2.0,46.0,63029.46825057249,14.0,0,High
566,Low,6.0,54.0,48203.3756775197,36.0,1,Low
567,Medium,7.0,36.0,58861.71621511698,6.0,0,Medium
568,High,1.0,31.0,40842.72854132176,8.0,0,High
569,Medium,8.0,64.0,43234.23662359394,11.0,1,Medium
570,L,5.0,45.0,51035.144168865576,10.0,0,Low
571,Medium,8.0,48.0,90213.82687990829,21.0,1,Medium
572,3,5.0,35.0,30014.112319878685,1.0,0,Medium
573,Low,7.0,59.0,125929.2740562572,38.0,1,Low
574,Low,6.0,35.0,28356.89619944992,25.0,0,Low
575,M,5.0,44.0,65610.80095527583,18.0,0,Medium
576,,7.0,52.0,52717.41630547051,23.0,1,Medium
577,High,5.0,38.0,58747.39254429567,8.0,0,High
578,Low,10.0,52.0,88956.48669829962,13.0,0,Low
579,2,15.0,71.0,98060.1022825592,14.0,1,Medium
580,Low,5.0,39.0,90160.00449846944,10.0,0,Low
581,Low,9.0,61.0,90568.42692419664,20.0,1,Low
582,Unknown,8.0,83.0,118415.95067720924,39.0,1,Medium
583,1,8.0,57.0,104252.66108445828,11.0,0,Medium
584,Low,5.0,69.0,126594.97488350925,1.0,0,Low
585,High,5.0,31.0,22504.800228678152,10.0,1,High
586,1,6.0,56.0,96751.28829579042,16.0,0,Medium
587,Unknown,3.0,30.0,65639.33890886095,4.0,0,Medium
588,High,4.0,26.0,43931.77342569057,1.0,0,High
589,High,2.0,28.0,64088.42551680139,9.0,1,High
590,2,5.0,24.0,39242.25757144532,6.0,1,Medium
591,L,8.0,67.0,80348.09547318715,2.0,1,Low
592,High,6.0,23.0,4573.006103043375,11.0,0,High
593,HIGH,6.0,100.0,97010.68201285122,33.0,1,High
594,1,4.0,65.0,122986.92707171854,16.0,0,Medium
595,High,4.0,26.0,47412.19313585569,6.0,0,High
596,1,8.0,61.0,142802.25914586516,26.0,0,Medium
597,Medium,5.0,31.0,50779.8195690522,1.0,0,Medium
598,Medium,5.0,39.0,65582.92156113953,13.0,1,Medium
599,High,2.0,16.0,65091.648591926016,0.0,0,High
600,High,5.0,44.0,68050.84779248519,3.0,0,High
601,2,6.0,52.0,96702.21814793936,31.0,1,Medium
602,3,2.0,32.0,48950.725455671614,10.0,1,Medium
603,High,1.0,34.0,65091.648591926016,4.0,0,High
604,HIGH,4.0,31.0,50770.34760533573,7.0,1,High
605,Medium,3.0,35.0,3211654.262356479,1.0,0,Medium
606,Low,10.0,47.0,71223.047364636,28.0,0,Low
607,M,2.0,38.0,66496.36770263889,18.0,1,Medium
608,,9.0,56.0,95015.93385398747,38.0,1,Medium
609,Medium,2.0,40.0,69736.9309318372,7.0,0,Medium
610,2,6.0,30.0,65091.648591926016,11.0,0,Medium
611,3,2.0,26.0,28913.01556348786,8.0,1,Medium
612,Medium,9.0,48.0,104022.921349606,17.0,1,Medium
613,Medium,7.0,35.0,53977.782997345,5.0,0,Medium
614,Low,4.0,46.0,85590.13366642792,21.0,1,Low
615,Medium,4.0,31.0,0.0,2.0,0,Medium
616,Unknown,9.0,51.0,82384.41726595254,2.0,1,Medium
617,Low,10.0,61.0,8091.909791109858,30.0,0,Low
618,low,4.0,45.0,65091.648591926016,5.0,1,Low
619,Low,5.0,38.0,38761.20570055046,3.0,1,Low
620,High,1.0,21.0,23193.553115695555,1.0,0,High
621,Unknown,4.0,53.0,88582.10125356902,11.0,0,Medium
622,H,6.0,48.0,55213.21420852514,4.0,0,High
623,High,5.0,27.0,70478.1262514537,0.0,0,High
624,Unknown,9.0,40.0,21207.686472395588,18.0,1,Medium
625,2,9.0,18.0,9209.115486985842,0.0,0,Medium
626,High,6.0,40.0,66596.51353495666,5.0,1,High
627,Medium,9.0,38.0,112001.83361512414,16.0,1,Medium
628,Medium,2.0,18.0,0.0,0.0,0,Medium
629,2,4.0,33.0,73385.5746658793,11.0,1,Medium
630,High,1.0,23.0,20420.06501480637,2.0,0,High
631,Low,9.0,39.0,42362.22389413357,2.0,1,Low
632,2,7.0,16.0,0.0,0.0,0,Medium
633,Low,5.0,73.0,165654.63324110897,5.0,0,Low
634,2,9.0,52.0,22008.331425693323,3.0,1,Medium
635,Medium,8.0,34.0,73847.87254374755,12.0,0,Medium
636,H,3.0,24.0,21130.28859038112,1.0,1,High
637,High,2.0,36.0,81616.3213550705,4.0,0,High
638,Medium,4.0,46.0,57638.54441588311,8.0,0,Medium
639,Low,10.0,57.0,73410.1599285089,17.0,1,Low
640,Medium,4.0,42.0,81575.54864011268,32.0,0,Medium
641,Unknown,9.0,71.0,104193.7736665336,16.0,0,Medium
642,Unknown,3.0,23.0,0.0,4.0,0,Medium
643,MEDIUM,15.0,56.0,90377.68010783274,32.0,1,Medium
644,2,4.0,61.0,52559.48008884882,37.0,0,Medium
645,Low,10.0,41.0,57860.17354794247,4.0,0,Low
646,High,2.0,53.0,35103.24905427935,22.0,0,High
647,High,3.0,16.0,16815.544687490754,0.0,0,High
648,Low,5.0,48.0,52915.67288178371,12.0,0,Low
649,Low,6.0,71.0,133691.68063061286,36.0,0,Low
650,High,4.0,19.0,29039.08027709928,1.0,1,High
651,M,5.0,43.0,42954.900523379554,4.0,0,Medium
652,H,4.0,29.0,64512.60142843754,7.0,0,High
653,Medium,4.0,51.0,100397.7581768933,32.0,1,Medium
654,Low,10.0,43.0,38552.52762560384,11.0,1,Low
655,M,6.0,46.0,0.0,5.0,0,Medium
656,H,2.0,49.0,18750.39281611861,10.0,0,High
657,1,10.0,44.0,65091.648591926016,20.0,1,Medium
658,High,3.0,49.0,63377.80827262735,18.0,0,High
659,Medium,3.0,48.0,76257.11836399528,0.0,0,Medium
660,L,6.0,44.0,89247.13102512162,18.0,1,Low
661,M,4.0,29.0,22175.60601260986,11.0,0,Medium
662,Low,9.0,44.0,61438.24792125281,11.0,1,Low
663,Medium,5.0,46.0,117229.11252723762,27.0,0,Medium
664,1,9.0,77.0,122080.50573428824,26.0,1,Medium
665,3,3.0,21.0,42641.72451462505,3.0,1,Medium
666,,5.0,59.0,93457.36406574004,6.0,0,Medium
667,Medium,4.0,53.0,118222.84277452936,18.0,1,Medium
668,High,3.0,36.0,58471.69282147752,12.0,0,High
669,Medium,2.0,40.0,52423.43037919114,20.0,0,Medium
670,Medium,2.0,53.0,65187.29870206365,28.0,0,Medium
671,Medium,3.0,57.0,81828.90625650025,11.0,0,Medium
672,L,4.0,69.0,112304.33525056826,12.0,0,Low
673,Low,6.0,44.0,85857.57192400652,19.0,0,Low
674,3,5.0,47.0,103447.0342455573,14.0,1,Medium
675,high,2.0,35.0,46367.842956470886,1.0,0,High
676,high,1.0,35.0,53984.948262866455,2.0,1,High
677,Medium,6.0,49.0,80948.21689572866,18.0,1,Medium
678,High,5.0,27.0,2447354.4777942663,0.0,1,High
679,Medium,2.0,55.0,92155.36972471209,11.0,0,Medium
680,Low,7.0,64.0,150038.59578716275,37.0,0,Low
681,1,8.0,47.0,76342.47258601445,7.0,1,Medium
682,MEDIUM,2.0,30.0,12066.346871651518,1.0,0,Medium
683,,1.0,41.0,55324.55480407437,15.0,0,Medium
684,1,10.0,58.0,121332.1839963354,25.0,1,Medium
685,,6.0,75.0,150625.34739489818,55.0,1,Medium
686,2,4.0,36.0,73253.32354751744,7.0,0,Medium
687,H,5.0,33.0,55406.33709390983,13.0,0,High
688,3,3.0,30.0,70519.18663957188,3.0,0,Medium
689,Low,10.0,56.0,31396.65741588676,15.0,1,Low
690,1,10.0,62.0,60768.87116474672,43.0,1,Medium
691,HIGH,1.0,19.0,5874.035392895739,0.0,0,High
692,High,3.0,35.0,56159.14995214128,0.0,0,High
693,Medium,3.0,32.0,60375.64732058032,12.0,1,Medium
694,LOW,10.0,68.0,121558.1492330538,27.0,1,Low
695,High,6.0,39.0,70951.45089968342,21.0,1,High
696,2,4.0,41.0,52792.695238607645,31.0,1,Medium
697,Unknown,3.0,49.0,99046.2385116489,25.0,1,Medium
698,Low,9.0,53.0,101191.57753874808,8.0,0,Low
699,Medium,4.0,35.0,65438.227536363775,3.0,0,Medium
700,Medium,3.0,53.0,65091.648591926016,13.0,0,Medium
701,M,5.0,31.0,64464.21599488224,8.0,1,Medium
702,High,5.0,100.0,162377.828092928,71.0,1,High
703,H,3.0,24.0,76514.12852523648,6.0,1,High
704,3,3.0,41.0,32549.471294961128,14.0,0,Medium
705,Low,5.0,42.0,56962.12308016655,11.0,0,Low
706,Medium,7.0,50.0,60339.83486451789,4.0,0,Medium
707,Low,-1.0,59.0,100084.56518661576,10.0,0,Low
708,High,5.0,37.0,39458.270146841816,16.0,1,High
709,Low,7.0,59.0,85195.48611286977,11.0,1,Low
710,Unknown,9.0,50.0,57019.18260878706,10.0,1,Medium
711,L,8.0,67.0,82560.9340782469,18.0,1,Low
712,Medium,5.0,47.0,59673.83196087151,18.0,0,Medium
713,M,5.0,31.0,17055.029088275012,3.0,1,Medium
714,1,8.0,47.0,63419.85649250322,14.0,0,Medium
715,Medium,6.0,47.0,91102.19554730107,13.0,1,Medium
716,Medium,4.0,43.0,58903.57195708481,5.0,0,Medium
717,Medium,7.0,25.0,73936.52289042402,5.0,1,Medium
718,Low,5.0,50.0,0.0,11.0,0,Low
719,High,1.0,18.0,22086.26129453616,0.0,0,High
720,1,7.0,47.0,28607.794898281565,8.0,1,Medium
721,3,4.0,26.0,34268.99409110492,2.0,0,Medium
722,Low,4.0,66.0,96266.62399667742,39.0,1,Low
723,Medium,6.0,38.0,41754.82068084682,5.0,1,Medium
724,M,9.0,49.0,57908.9853289653,25.0,0,Medium
725,Medium,7.0,51.0,82229.06740923756,11.0,1,Medium
726,Medium,7.0,48.0,48197.80076856192,8.0,1,Medium
727,Unknown,3.0,44.0,39096.42011187167,4.0,0,Medium
728,2,7.0,58.0,73021.73722034907,13.0,0,Medium
729,Medium,9.0,44.0,29430.44799407276,3.0,1,Medium
730,High,6.0,26.0,82093.89469207666,8.0,1,High
731,Medium,3.0,27.0,32572.487708078123,0.0,0,Medium
732,L,7.0,64.0,109168.86243472216,7.0,0,Low
733,Unknown,7.0,45.0,13538.320146036516,6.0,0,Medium
734,high,2.0,43.0,25508.854295904053,11.0,0,High
735,L,9.0,70.0,176641.9569778826,9.0,1,Low
736,2,5.0,50.0,81590.78948173075,16.0,1,Medium
737,High,1.0,18.0,28593.61600077104,0.0,0,High
738,Medium,4.0,45.0,89309.77750800982,5.0,0,Medium
739,Low,4.0,57.0,100454.82708690617,47.0,0,Low
740,High,6.0,36.0,94186.954980762,16.0,0,High
741,Medium,3.0,53.0,85224.68214640222,24.0,0,Medium
742,1,5.0,55.0,102063.45113249736,26.0,1,Medium
743,Medium,6.0,49.0,96379.56245382492,10.0,1,Medium
744,Medium,7.0,44.0,58456.33564851184,1.0,0,Medium
745,Medium,5.0,49.0,107978.95527962197,6.0,1,Medium
746,High,15.0,44.0,44718.7936461384,4.0,1,High
747,Medium,2.0,35.0,68589.4575312842,7.0,0,Medium
748,,7.0,34.0,17684.308952590443,0.0,0,Medium
749,H,5.0,46.0,54845.27187441008,25.0,0,High
750,High,3.0,33.0,24581.53294311744,13.0,1,High
751,2,7.0,51.0,25137.60243175757,24.0,1,Medium
752,Low,9.0,64.0,102550.1256354302,17.0,1,Low
753,Medium,6.0,28.0,25995.99895423224,10.0,0,Medium
754,3,5.0,18.0,59897.74166433964,0.0,0,Medium
755,1,5.0,37.0,64407.27914387677,17.0,0,Medium
756,Medium,4.0,47.0,81991.92720566565,7.0,0,Medium
757,Low,5.0,61.0,6993.355292607335,1.0,1,Low
758,Medium,9.0,54.0,37868.072062028186,35.0,0,Medium
759,Medium,7.0,37.0,39036.105788774265,10.0,1,Medium
760,Medium,5.0,57.0,73062.25916972938,20.0,0,Medium
761,Low,5.0,66.0,158080.1912543468,30.0,1,Low
762,,5.0,26.0,46604.05284550668,8.0,0,Medium
763,High,3.0,39.0,74385.80978978898,5.0,0,High
764,Unknown,2.0,48.0,97463.62459040924,28.0,1,Medium
765,1,10.0,42.0,78444.99086331438,22.0,1,Medium
766,High,4.0,42.0,13194.3034835434,24.0,1,High
767,2,7.0,25.0,42650.4790132222,4.0,1,Medium
768,LOW,-1.0,31.0,53176.33107653739,12.0,0,Low
769,1,6.0,58.0,18938.26371506139,37.0,1,Medium
770,low,5.0,70.0,101092.65700600596,39.0,0,Low
771,M,8.0,46.0,34184.86878450071,18.0,1,Medium
772,Unknown,2.0,43.0,66344.72261651373,9.0,0,Medium
773,Low,8.0,70.0,134261.7385455461,6.0,0,Low
774,High,5.0,30.0,54956.48272259338,3.0,1,High
775,Medium,4.0,20.0,36081.51403215685,1.0,0,Medium
776,3,3.0,48.0,83468.61835611083,3.0,1,Medium
777,Medium,4.0,42.0,61255.84274903749,2.0,0,Medium
778,Medium,9.0,43.0,38188.78540580091,11.0,1,Medium
779,Unknown,3.0,65.0,110302.37479295132,17.0,0,Medium
780,Medium,3.0,38.0,36878.348113029606,19.0,1,Medium
781,High,6.0,48.0,113059.09570464368,21.0,1,High
782,M,7.0,59.0,25629.37941836221,32.0,1,Medium
783,Medium,4.0,49.0,141354.46179585165,0.0,0,Medium
784,MEDIUM,5.0,59.0,68724.7572285056,2.0,0,Medium
785,Low,10.0,43.0,50533.10395104432,16.0,0,Low
786,Low,5.0,50.0,84837.3744775053,30.0,0,Low
787,High,3.0,22.0,80433.89629092539,1.0,0,High
788,High,5.0,44.0,60888.57932148411,13.0,1,High
789,High,6.0,18.0,37235.7444255925,0.0,1,High
790,high,6.0,38.0,88284.18299611902,17.0,1,High
791,Low,7.0,56.0,74478.37383360272,6.0,0,Low
792,2,3.0,51.0,122822.77926336604,0.0,0,Medium
793,1,6.0,47.0,39423.46392301884,1.0,0,Medium
794,,1.0,52.0,20516.436990112285,16.0,1,Medium
795,L,5.0,52.0,67647.9202113194,17.0,0,Low
796,Medium,9.0,65.0,20347.82679426812,17.0,1,Medium
797,Medium,8.0,70.0,42350.62528065272,7.0,0,Medium
798,Medium,3.0,40.0,80559.27893632685,20.0,0,Medium
799,H,6.0,18.0,33684.3547660351,0.0,0,High
800,High,5.0,35.0,38058.94579631604,17.0,0,High
801,2,8.0,52.0,61483.13595526069,7.0,1,Medium
802,2,4.0,40.0,17016.835924622224,30.0,0,Medium
803,1,4.0,69.0,124346.43574485408,20.0,0,Medium
804,high,6.0,18.0,11995.383465585654,11.0,0,High
805,L,7.0,48.0,86411.58778406685,26.0,1,Low
806,Medium,8.0,46.0,65091.648591926016,24.0,1,Medium
807,Medium,8.0,33.0,79857.0799514777,0.0,1,Medium
808,Medium,4.0,59.0,64808.40793751947,22.0,0,Medium
809,2,2.0,55.0,105300.42205245048,19.0,1,Medium
810,High,3.0,44.0,97576.87101300136,20.0,1,High
811,1,4.0,54.0,104125.54952731729,11.0,0,Medium
812,Unknown,6.0,53.0,47293.42181162714,18.0,0,Medium
813,High,4.0,42.0,74026.55230676357,24.0,0,High
814,Medium,4.0,60.0,68225.28014628912,42.0,1,Medium
815,Low,4.0,39.0,59547.63030566453,20.0,1,Low
816,Medium,5.0,48.0,11612.604166036024,16.0,1,Medium
817,Low,6.0,57.0,56054.89494067831,14.0,0,Low
818,LOW,8.0,39.0,73760.25473696388,3.0,0,Low
819,Low,9.0,46.0,115488.5482073793,15.0,0,Low
820,1,5.0,60.0,56305.48656330528,0.0,1,Medium
821,High,4.0,48.0,128627.81704427008,14.0,0,High
822,Medium,6.0,60.0,55376.504237712485,2.0,0,Medium
823,3,2.0,30.0,29323.106147986044,9.0,1,Medium
824,Medium,6.0,30.0,64143.4034213096,0.0,0,Medium
825,Low,-1.0,51.0,95360.6894369233,15.0,0,Low
826,1,5.0,65.0,80341.89946724758,22.0,1,Medium
827,Low,9.0,57.0,97884.55714663531,19.0,1,Low
828,Medium,3.0,46.0,155028.16384709688,14.0,0,Medium
829,3,1.0,40.0,43952.37040473348,19.0,1,Medium
830,,5.0,49.0,58267.97301053276,39.0,1,Medium
831,Medium,4.0,38.0,71232.74005550731,18.0,0,Medium
832,3,5.0,21.0,0.0,3.0,0,Medium
833,3,5.0,47.0,65091.648591926016,2.0,0,Medium
834,3,6.0,30.0,34143.50776418327,12.0,0,Medium
835,Medium,4.0,22.0,20176.75114131792,0.0,0,Medium
836,2,-1.0,52.0,61079.69565560462,9.0,0,Medium
837,Unknown,3.0,74.0,231902.4355359668,39.0,0,Medium
838,High,5.0,41.0,43922.18084868821,0.0,1,High
839,Medium,2.0,39.0,83912.41247305542,21.0,0,Medium
840,3,1.0,42.0,82566.21813441059,19.0,0,Medium
841,2,5.0,40.0,55253.79480417274,13.0,0,Medium
842,Medium,8.0,45.0,77587.81612615933,13.0,0,Medium
843,Medium,9.0,66.0,95269.60231041718,24.0,0,Medium
844,Low,15.0,56.0,75857.761317575,12.0,1,Low
845,2,4.0,30.0,52933.47108040077,1.0,0,Medium
846,3,3.0,41.0,76117.03399833974,1.0,0,Medium
847,Medium,5.0,50.0,98643.222104972,8.0,0,Medium
848,Medium,2.0,28.0,51037.57030366601,4.0,1,Medium
849,Medium,6.0,52.0,95474.60974747264,10.0,0,Medium
850,High,5.0,46.0,95918.38463621611,2.0,1,High
851,2,2.0,32.0,35435.70307306062,12.0,0,Medium
852,High,3.0,49.0,101876.87800366414,28.0,1,High
853,high,1.0,18.0,25496.01379757152,0.0,0,High
854,low,9.0,55.0,96974.4980784093,24.0,1,Low
855,3,5.0,48.0,67877.13966789804,27.0,1,Medium
856,2,6.0,33.0,83396.75626215577,9.0,0,Medium
857,M,2.0,44.0,86899.00077034275,17.0,0,Medium
858,,3.0,34.0,79274.30638888448,1.0,0,Medium
859,Low,6.0,59.0,52540.15719565284,23.0,1,Low
860,Medium,9.0,42.0,107775.34993344484,32.0,1,Medium
861,Medium,9.0,23.0,4171.57994379881,2.0,1,Medium
862,Medium,9.0,38.0,43525.14447459524,20.0,0,Medium
863,1,10.0,52.0,115344.36316002738,9.0,1,Medium
864,,4.0,46.0,27740.54566268453,0.0,0,Medium
865,High,5.0,51.0,69703.66556147674,6.0,1,High
866,1,9.0,61.0,58133.353278057366,4.0,1,Medium
867,Low,8.0,62.0,64589.427639670415,16.0,0,Low
868,Medium,7.0,57.0,159622.42434875382,12.0,0,Medium
869,High,5.0,34.0,29545.22929527533,3.0,0,High
870,Unknown,9.0,64.0,150253.97174240355,20.0,0,Medium
871,Medium,8.0,41.0,85606.15016798736,13.0,1,Medium
872,Medium,5.0,18.0,15110.257144728335,0.0,1,Medium
873,,1.0,36.0,0.0,11.0,0,Medium
874,H,2.0,32.0,55637.253365436525,1.0,0,High
875,Low,7.0,60.0,158544.12807769573,23.0,1,Low
876,3,6.0,40.0,53004.04384036894,8.0,1,Medium
877,,4.0,25.0,40044.10120741825,2.0,0,Medium
878,HIGH,1.0,35.0,77127.93340372576,0.0,0,High
879,High,3.0,32.0,37328.94641346719,2.0,0,High
880,Low,8.0,55.0,151243.49657247955,5.0,0,Low
881,3,15.0,43.0,60604.55894752208,12.0,1,Medium
882,3,2.0,36.0,46295.03784745567,15.0,0,Medium
883,1,9.0,16.0,69745.04132381757,0.0,0,Medium
884,medium,9.0,42.0,39057.15978574877,23.0,1,Medium
885,,1.0,49.0,63951.28856251216,11.0,0,Medium
886,Medium,5.0,53.0,110180.26177314056,34.0,1,Medium
887,High,6.0,20.0,49074.95112264163,0.0,0,High
888,3,2.0,28.0,58913.78788251455,8.0,0,Medium
889,Low,-1.0,29.0,49413.546247531536,9.0,1,Low
890,Low,4.0,54.0,41821.88230945712,30.0,0,Low
891,M,4.0,49.0,127603.95351731442,24.0,1,Medium
892,M,2.0,41.0,93429.3719994028,10.0,0,Medium
893,Medium,9.0,47.0,48222.31473325582,9.0,1,Medium
894,Low,6.0,42.0,17581.12084020707,23.0,0,Low
895,Medium,4.0,46.0,57189.80876945297,23.0,1,Medium
896,,5.0,51.0,121114.28198222345,15.0,1,Medium
897,Low,8.0,65.0,59738.9343125412,19.0,1,Low
898,High,2.0,34.0,53964.60246743544,4.0,1,High
899,Low,5.0,64.0,38109.89954881909,1.0,0,Low
900,high,6.0,44.0,30394.434155523435,3.0,0,High
901,Medium,9.0,58.0,91918.81931605509,11.0,0,Medium
902,M,2.0,44.0,49777.37610892409,6.0,0,Medium
903,Medium,3.0,43.0,99232.48146663832,5.0,1,Medium
904,2,4.0,40.0,66542.08691658187,17.0,0,Medium
905,3,-1.0,19.0,15812.111677532794,0.0,1,Medium
906,High,5.0,30.0,26188.847532715907,11.0,0,High
907,L,6.0,39.0,38785.34227549717,21.0,1,Low
908,HIGH,2.0,34.0,85446.55096569537,11.0,0,High
909,,3.0,39.0,56737.81034644268,9.0,1,Medium
910,High,4.0,37.0,39321.402859157,5.0,0,High
911,L,9.0,59.0,92382.41946702474,35.0,1,Low
912,Low,7.0,48.0,58665.99896292021,6.0,0,Low
913,Medium,8.0,34.0,68567.03388657985,11.0,1,Medium
914,High,2.0,56.0,80988.19359820474,24.0,0,High
915,Low,9.0,59.0,135584.98022042666,21.0,0,Low
916,High,3.0,27.0,42083.22546188374,2.0,0,High
917,Low,9.0,51.0,97779.43844832864,14.0,0,Low
918,High,2.0,32.0,89225.38548348608,4.0,0,High
919,3,5.0,36.0,31754.50701592388,18.0,1,Medium
920,1,7.0,63.0,91744.83590879675,6.0,1,Medium
921,Low,8.0,57.0,133710.91320579502,0.0,1,Low
922,Unknown,8.0,62.0,109098.29370122736,35.0,1,Medium
923,Medium,7.0,53.0,87155.2450154319,11.0,1,Medium
